Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
57,2.0,0.0,0.0,686.0,17.0,42.0,2800.0,0.1,-1024.692309559505,0.0,0.0,455.11572003364563,,,,,,,,,,,,,,,,,,,,,-299.7086161500913,336.3188016626198,0.006979034965020993,-1014.1317971436911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,719.0,18.0,33.0,2833.0,0.1,-521.9267109731646,0.0,0.0,458.42928981781006,,,,,,,,,,,,,,,,,,,,,-163.5983127406752,169.05087425696183,0.007972055930055972,-517.5625742386253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,746.0,19.0,27.0,2860.0,0.1,-267.6462864567986,0.0,0.0,461.2779583930969,,,,,,,,,,,,,,,,,,,,,-72.1581436158563,81.27149024035405,0.007972055930055972,-266.23021077050043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,776.0,20.0,30.0,2890.0,0.1,-414.3142525924155,0.0,0.0,464.5078167915344,,,,,,,,,,,,,,,,,,,,,-121.33315965185331,131.4524067529802,0.006979034965020993,-411.4968399859916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,50.0,1.0,50.0,2940.0,0.1,-1023.6374731377085,0.0,0.0,540.8365199565887,,,,,,,,,,,,,,,,,,,,,-335.54019900136956,343.39191671443615,0.008964083874125915,-1008.877208727887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,93.0,2.0,43.0,2983.0,0.1,-692.0967303048749,0.0,0.0,544.9470794200897,,,,,,,,,,,,,,,,,,,,,-178.36496364196609,225.9195269076043,0.007972055930055972,-685.7979469642517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,120.0,3.0,27.0,3010.0,0.1,-297.3653966478657,0.0,0.0,547.8382494449615,,,,,,,,,,,,,,,,,,,,,-71.13975293167498,95.01806433625276,0.007972055930055972,-296.03640008247504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,151.0,4.0,31.0,3041.0,0.1,-49.01515645078513,0.0,0.0,550.9542558193207,,,,,,,,,,,,,,,,,,,,,-26.28241205386044,19.640290971822026,0.007972055930055972,-55.851955034746275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,191.0,5.0,40.0,3081.0,0.1,-1788.1318359332038,0.0,0.0,554.9877243041992,,,,,,,,,,,,,,,,,,,,,-601.6792523596188,597.4175550592015,0.011934219505791075,-1767.5980944295836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,234.0,6.0,43.0,3124.0,0.1,-4517.685132773122,0.0,0.0,559.3664810657501,,,,,,,,,,,,,,,,,,,,,-1798.2118096960885,1526.2660570655917,0.007972055930055972,-4449.256087875856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,268.0,7.0,34.0,3158.0,0.1,-5226.186641244407,0.0,0.0,562.7904088497162,,,,,,,,,,,,,,,,,,,,,-2102.877789289342,1776.9687484403908,0.007972055930055972,-5165.013658712338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,302.0,8.0,34.0,3192.0,0.1,-6183.088183502598,0.0,0.0,566.2241411209106,,,,,,,,,,,,,,,,,,,,,-2621.824493074891,2057.9505852500533,0.005985019985005999,-6106.152349284275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
